Date,River,Location,LocationNo,Temp,pH,EC,TDS,DO,ORP,Turbidity,Color,Suspended Solids,"Alkalinity
",Iron,AmmoniaNitrogen,Nitrate,Sulfide,Sulfate,Chloride
7/8/2019,Turag,u/s of Konabari,L-1,29.4,7.74,148.4,64.4,6.59,199.3,176,35,576,30,0.1,0.18,1.4,3,7,220
7/8/2019,Turag,Konabari Powerplant,L-2,29.4,7.7,150.3,65.3,6.42,200,187,13,623,50,0.11,0.43,1.9,4,8,160
7/8/2019,Turag,d/s of Konabari,L-3,29.4,7.66,159.5,69.3,6.05,201.1,186,18,588,65,0.09,0.2,2.1,3,9,170
7/8/2019,Turag,d/s of Kashimpur,L-4,29.4,7.69,163.7,71.2,6.01,199.8,165,58,555,85,0.15,0.52,3.8,9,9,200
7/8/2019,Turag,Yearpur (u/s of Ashulia Lake),L-5,29.3,7.52,165.4,72,5.63,208,122,24,459,85,0.12,0.21,1.5,3,10,170
7/8/2019,Turag,Ashulia Bridge (d/s of Ashulia Lake),L-6,29.3,7.49,167,72.8,5.18,200.4,105,48,772,45,0.21,0.39,1.5,10,10,200
7/8/2019,Turag,Rustampur (u/s of confluence),L-7,29.4,7.35,174.3,75.9,4.58,188,93.7,28,358,50,0.1,0.28,1.3,2,11,200
7/8/2019,Turag,Birulia Bridge,L-8,29.3,7.34,171.8,74.8,3.84,171.6,71.6,26,267,55,0.12,0.33,2.3,3,11,180
7/8/2019,Turag,Botanical Garden,L-9,29.4,7.37,172,74.9,3.57,138,66.8,24,242,35,0.1,0.26,1.1,3,11,210
7/8/2019,Turag,u/s of Aminbazar Bridge,L-10,29.3,7.33,174,75.7,2.84,112,54.8,26,176,35,0.14,0.31,4.7,3,11,190
7/8/2019,Turag,Rail Bridge at Kayaltia,RH-T1,29.4,7.71,146,63.3,6.68,199.5,200,19,256,55,0.12,0.25,3.9,3,9,190
7/8/2019,Turag,d/s of Bhawal-Mirzapur Road Bridge at Madhyapara,RH-T2,29.4,7.75,142,61.6,6.85,200.4,218,47,19,35,0.11,0.38,1.2,11,11,190
7/8/2019,Turag,d/s of Bridge at Mouchak-Fulbaria Road,RH-T3,29.4,7.77,141.5,61.4,6.89,203.2,225,47,15,40,0.01,0.3,4,10,11,190
7/8/2019,Turag,d/s of Dubail Beel (Goalia),RH-T4,29.4,7.71,141.3,61.3,6.9,202.1,231,12,57,35,0.07,0.18,6.9,1,6,150
7/8/2019,Turag,d/s of Madankhali Jame Mosque,RH-T5,29.4,7.77,140.5,60.9,6.91,203.6,259,17,43,40,0.08,0.11,1,1,7,180
7/8/2019,Turag,Boroibari Bridge,L-48,29.4,7.74,138.7,60.1,6.97,205,184,19,18,25,0.06,0.15,1.8,4,12,180
7/8/2019,Turag,Kaliakoir Bridge,L-47,29.5,7.86,138,59.8,7.02,204.5,254,21,17,5,0.08,0.14,1.1,2,6,200
7/8/2019,Bangshi,Kaliakoir Bangshi Bridge,L-49,29.5,7.82,138.5,60,6.98,203.7,295,18,13,30,0.08,0.19,1.4,2,9,180
7/14/2019,Tongi Khal,d/s Ashulia Landing station,L-20,28.6,7.52,172.8,76.4,4.18,140.6,49.2,39,70,20,0.18,0.25,5.4,19,17,210
7/14/2019,Tongi Khal,u/s Ijtema Field,L-21,28.6,7.45,189.3,83.8,3.29,143.9,40.2,29,60,45,0.12,0.34,2.9,7,19,190
7/14/2019,Tongi Khal,d/s Railway Bridge,L-22,28.6,7.44,191.2,84.6,2.68,148.8,47.9,25,70,50,0.14,0.42,1.2,4,16,170
7/14/2019,Tongi Khal,d/s of Hussein Dyeing,L-23,28.5,7.42,220.6,105.6,1.73,151.2,39,29,3,50,0.16,0.82,1.7,113,20,200
7/14/2019,Tongi Khal,Mausaid (d/s Pagar Canal),L-24,28.6,7.46,308,140,1.04,-190,37.7,28,38,45,0.31,0.85,4.8,4,20,170
7/14/2019,Tongi Khal,u/s of Balu Confluence,L-25,28.5,7.4,311,138.8,0.17,-15.4,36.3,35,35,85,0.08,2.27,1.5,11,23,200
7/14/2019,Balu ,u/s of Purbachal,L-26,28.6,7.39,252,111.9,0.22,10.8,20.4,42,18,75,0.07,1.24,1.7,5,20,220
7/14/2019,Balu ,d/s of Purbachal (Ichhapur bridge),L-27,28.5,7.41,267,118,1.2,54,15.41,40,23,60,0.07,1.59,1.2,5,19,180
7/14/2019,Balu ,Beraid,L-28,28.7,7.38,298,132,0.51,84,14.02,50,24,70,0.08,2.31,1.1,4,21,180
7/14/2019,Balu ,d/s of Begunbari Canal,L-29,28.7,7.41,307,136.9,0.16,-21.9,18.57,36,31,80,0.05,2.61,2.1,5,20,170
7/14/2019,Balu ,Demra (u/s of confluence),L-30,28.7,7.33,343,161.9,0.17,-25,24,53,17,110,0.08,3.9,1.5,12,16,160
7/14/2019,Dhaleshwari ,Muktapur Ghat  ,L-40,29,7.52,220.3,89,3.63,119.9,75.6,22,138,25,0.07,0.75,2.8,9,10,180
7/14/2019,Shitalakhya ,d/s Kanchan Bridge,L-41,28.6,7.51,102.2,44.9,5.68,84.4,75.2,57,118,25,0.35,0.31,1.4,9,4,130
7/14/2019,Shitalakhya ,ACI Salt (Rupganj Ferry Ghat),L-42,28.6,7.49,107.3,47.2,5.6,74.6,80.3,60,125,5,0.38,0.28,2.1,9,5,140
7/14/2019,Shitalakhya ,Demra Ghat,L-43,28.6,7.51,117,51.5,5.01,89.8,71.4,54,105,30,0.31,0.62,2.3,9,6,150
7/14/2019,Shitalakhya ,d/s of Adamjee EPZ,L-44,28.7,7.51,150,66.1,4.16,119.4,62.9,57,90,15,0.37,0.7,1.6,10,7,160
7/14/2019,Shitalakhya ,d/s of Tanbazar Ghat,L-45,28.7,7.55,154.2,67.9,4.17,118,48.9,49,74,20,0.38,0.81,2,8,6,140
7/14/2019,Shitalakhya ,u/s of Kalagachia Point,L-46,28.8,7.57,157,68.8,3.92,117.9,48,53,71,25,0.27,0.75,2.2,8,6,140
7/14/2019,Turag,Goran Chatbari Pump station,Turag-E1 ,28.3,7.38,544,246,3.67,132.1,35.3,67,37,110,0.06,9.7,2.1,19,9,210
7/14/2019,Pagar Canal,Steel bridge at Pagar Canal,L-55,28.3,7.44,795,364,0.11,-319.1,18.11,119,12,190,0.16,11.8,1.9,17,31,190
7/14/2019,Begunbari Canal,d/s of Dasherkandi WWTP,L-57,28.2,7.18,495,225,0.16,-222,62.3,77,59,110,0.07,8.65,3,18,15,130
7/15/2019,Buriganga,Aminbazar Bridge,L-11,28.4,7.4,126,76.5,2.95,146,52.2,42,69,80,0.15,0.88,4.2,5,16,270
7/15/2019,Buriganga,d/s of Hazaribagh,L-12,28.6,7.41,125.4,81.7,1.61,148,35,28,54,50,0.11,0.89,6,3,16,160
7/15/2019,Buriganga,d/s Kamrangirchar Launch Ghat,L-13,28.7,7.38,153.8,88.5,1.29,144,26.2,33,41,55,0.16,0.86,2.1,5,18,180
7/15/2019,Buriganga,Chandni Ghat,L-14,28.7,7.55,155.8,85.7,1.41,157,30,31,44,60,0.1,0.91,1.9,4,18,200
7/15/2019,Buriganga,Sadar Ghat,L-15,28.7,7.49,164,88,0.88,157.4,34.2,35,45,40,0.08,0.94,3.1,4,16,160
7/15/2019,Buriganga,Dholaikhal,L-16,28.7,7.5,162.4,87.4,0.72,157,27.9,34,38,50,0.07,1,4.4,3,13,170
7/15/2019,Buriganga,BCF Bridge,L-17,28.8,7.5,160.7,87.8,0.55,158.2,28.3,39,32,65,0.14,1.04,2.5,0,12,160
7/15/2019,Buriganga,d/s Pagla STP,L-18,28.8,7.55,146.2,86.2,0.29,158.8,36.2,31,17,40,0.24,1.03,2.2,3,11,170
7/15/2019,Buriganga,Jazira ,L-19,28.9,7.53,151.3,89,0.19,161.9,61.3,34,29,50,0.07,1.07,5.8,3,11,170
7/15/2019,Bangshi-Savar,d/s of Turag branch outfall,L-31,28.5,7.38,167,90.8,1.97,142,48.1,30,67,45,0.1,0.69,2.7,2,12,210
7/15/2019,Bangshi-Savar,Amin Bazar Landfill,L-32,28.4,7.43,127.6,68.9,3.81,145.3,47.2,37,87,25,0.09,0.11,2.9,5,9,180
7/15/2019,Dhaleshwari,Nayarhat Bridge,L-33,27.9,7.57,106.5,60,5.8,147.3,208,23,325,45,0.13,0.2,2.5,3,7,160
7/15/2019,Dhaleshwari,Singair Bridge (Bhangalpur),L-34,28.2,7.58,114,64.5,5.4,149.2,166,47,200,35,0.13,0.14,3.6,3,8,170
7/15/2019,Dhaleshwari,Kadamtoli Bridge,L-35,28.7,7.58,154.9,87.4,3.55,145,54.7,36,73,55,0.09,0.67,2.5,5,12,190
7/15/2019,Dhaleshwari ,Rohitpur Bridge  ,L-36,27.9,7.69,115.1,62,6.51,149,501,36,698,35,0.17,0.05,3.6,3,7,190
7/15/2019,Dhaleshwari ,d/s of BSCIC  ,L-37,28.1,7.79,118.1,62.2,6.58,155.6,428,40,674,20,0.16,0.29,10,19,6,160
7/15/2019,Dhaleshwari ,d/s of Dhaleswari Bridge  ,L-38,28.1,7.81,113.5,63.5,6.56,150.5,330,38,541,45,0.14,0.12,5,3,6,160
7/15/2019,Dhaleshwari ,Baluchar Bridge  ,L-39,28.3,7.86,134.4,66.3,6.7,154.4,357,37,531,70,0.34,0.14,3.3,5,7,160
7/15/2019,Ichhamoti,u/s of Fulhar Launch Treminal and Outfall to Dhaleswari,I-1,28.1,7.78,131.5,62.6,6.64,145.9,285,34,483,45,0.17,0.14,2.5,4,6,190
7/15/2019,Ichhamoti,d/s of Poet Kaykobad Bridge,I-2,28.3,7.66,128.4,62.6,5.87,150.6,278,31,403,35,0.1,0.1,2.1,4,6,150
7/15/2019,Ichhamoti,"u/s of Bhangavita boat race site (Dignara, Kailail, Nawabganj)",I-3,28.7,7.7,123.4,60.1,6.11,150.4,124,31,125,40,0.1,0.1,1.4,2,5,180
7/15/2019,Ichhamoti,"d/s of RHD bridge at Ulman Chandra, Barrah, Nawabganj",I-4,27.6,7.83,126.9,60.9,6.74,150.7,231,30,359,20,0.13,0.23,7.4,9,5,180
7/15/2019,Ichhamoti,"d/s of Bridge at Jantrail, Nawabganj",I-5,27.1,7.9,129,62.1,6.91,150,385,32,558,60,0.02,0.15,5.2,4,6,160
8/18/2019,Buriganga,Aminbazar Bridge,L-11,30.2,7.19,155.3,66.6,5.77,113.6,43.7,10,29,10,0.17,0.18,38.3,0,11,220
8/18/2019,Buriganga,d/s of Hazaribagh,L-12,30.2,7.21,165.8,71.1,4.41,5.2,30.3,24,73,50,2.73,0.14,119.8,2,12,250
8/18/2019,Buriganga,d/s Kamrangirchar Launch Ghat,L-13,30.2,7.41,168.2,72,4.27,3.9,28.7,27,65,40,0.21,0.15,37.8,3,12,230
8/18/2019,Buriganga,Chandni Ghat,L-14,30.3,7.34,178.5,76.4,3.32,3.4,30.9,27,68,40,0.15,0.1,15.1,3,13,220
8/18/2019,Buriganga,Sadar Ghat,L-15,30.3,7.62,167.3,71.5,4.35,179.6,30.7,24,62,30,0.15,0.11,78.6,3,11,200
8/18/2019,Buriganga,Dholaikhal,L-16,30.3,7.6,171.5,73.3,4.04,174,26.7,23,58,25,0.16,0.15,25.5,2,11,190
8/18/2019,Buriganga,BCF Bridge,L-17,30.4,7.6,170.1,72.7,3.79,177.4,27.7,32,66,30,0.2,0.13,31.8,2,12,250
8/18/2019,Buriganga,d/s Pagla STP,L-18,30.5,7.58,175.6,74.9,3.38,174,33.4,28,57,40,0.12,0.2,20.3,3,12,280
8/18/2019,Buriganga,Jazira ,L-19,30.6,7.7,179.9,76.6,3.2,148,26.2,32,54,45,0.1,0.11,11.8,0,12,230
8/18/2019,Bangshi-Savar,d/s of Turag branch outfall,L-31,30.2,7.44,170.4,73,4.93,122.8,20.4,21,44,25,0.12,0.11,21.4,0,11,240
8/18/2019,Bangshi-Savar,Amin Bazar Landfill,L-32,30.1,7.33,158.7,68,4.93,12.4,39.1,19,98,20,0.13,0.1,29.7,3,10,190
8/18/2019,Dhaleshwari,Nayarhat Bridge,L-33,30.5,7.54,157.3,67,5.58,162.2,69,26,169,25,0.32,0.12,43.4,0,12,190
8/18/2019,Dhaleshwari,Singair Bridge (Bhangalpur),L-34,30.5,7.65,162.3,69.1,5.21,173,44.4,22,41,50,0.57,0.2,35.7,0,10,190
8/18/2019,Dhaleshwari,Kadamtoli Bridge,L-35,30.6,7.67,165.3,70.4,4.71,139.9,29.9,25,36,35,0.78,0.24,120.8,1,10,220
8/18/2019,Dhaleshwari ,Rohitpur Bridge  ,L-36,30.2,7.75,167,71.7,6.25,167,173,21,279,25,0.1,0.13,21.1,0,13,200
8/18/2019,Dhaleshwari ,d/s of BSCIC  ,L-37,30.2,7.82,167.6,71.5,6.27,164.4,200,22,278,35,0.38,0.2,50.6,0,11,200
8/18/2019,Dhaleshwari ,d/s of Dhaleswari Bridge  ,L-38,30.2,7.7,167.2,71.7,6.28,169.7,161,24,257,40,3.12,0.21,31.5,0,12,180
8/18/2019,Dhaleshwari ,Baluchar Bridge  ,L-39,30.2,7.75,167.1,71.5,5.6,147.5,69.9,22,213,35,0.14,0.56,17.1,0,12,190
8/18/2019,Bangshi,Kaliakoir Bangshi Bridge,L-49,30.2,7.54,153.7,65.7,6.67,172.3,164,23,292,30,0.18,0.49,49.8,0,14,180
8/18/2019,Bangshi,u/s of Birdge at Goastra (Uttar Kanchanpur),B-2,30.3,7.61,154.1,65.7,6.65,150.8,183,23,283,30,0.19,0.42,28.4,0,12,190
8/18/2019,Bangshi,d/s of brick kiln at Shimulia,B-3,30.3,7.43,151.6,64.8,5.45,177.9,87.7,22,159,30,3.66,0.38,33.1,1,11,200
8/18/2019,Bangshi,d/s of bridge at Chhota Pachhail,B-4,30.3,7.41,151.8,64.8,5.48,179.5,83.3,24,145,50,2.37,0.33,13.1,0,13,190
8/18/2019,Bangshi,d/s of DEPZ Canal,L-50,30.5,7.48,152.1,64.8,5.58,187,71.8,23,139,10,2.69,0.41,150.2,3,9,200
8/18/2019,Bangshi,d/s of Nalam Paulpara Bridge,B-6,30.5,7.51,158.7,67.6,5.53,150.3,67.1,27,118,40,1.14,0.36,16.5,1,11,170
8/18/2019,Bangshi,u/s of Dhaleswari Confluence at Hazipur,L-51,30.4,7.52,157.3,67,5.3,158,69.9,21,113,10,1.43,0.31,154.5,0,9,170
8/19/2019,Balu ,Demra (u/s of confluence),L-30,30.5,7.49,115.2,115.2,1.03,214.2,15.65,46,23,65,0.1,1.93,10.8,5,12,210
8/19/2019,Dhaleshwari ,Muktapur Ghat  ,L-40,30.3,7.43,173.6,74.2,4.15,206.2,41.9,28,78,65,1.33,0.25,28.8,5,12,190
8/19/2019,Shitalakhya ,d/s Kanchan Bridge,L-41,30.3,7.6,151.6,64.8,5.23,209.6,45.4,36,66,50,1.95,0.2,32.1,4,6,200
8/19/2019,Shitalakhya ,ACI Salt (Rupganj Ferry Ghat),L-42,30.4,7.48,153,65.3,4.9,213.8,39,59,82,50,2.17,0.26,18,2,9,200
8/19/2019,Shitalakhya ,Demra Ghat,L-43,30.5,7.56,160.9,68.5,4.37,226,39.2,57,114,60,1.67,0.24,63.5,1,9,170
8/19/2019,Shitalakhya ,d/s of Adamjee EPZ,L-44,30.8,7.54,183.6,77.6,4.37,209.7,27.3,49,58,60,0.17,0.36,20.4,2,9,230
8/19/2019,Shitalakhya ,d/s of Tanbazar Ghat,L-45,30.6,7.5,192.6,82,3.71,206.3,23.2,44,59,60,0.14,0.55,14.2,0,10,210
8/19/2019,Shitalakhya ,u/s of Kalagachia Point,L-46,30.6,7.49,190.2,80.8,3.68,209.8,29.4,38,54,60,2.23,0.51,25.9,1,7,210
8/19/2019,Begunbari Canal,d/s of Dasherkandi WWTP,L-57,30.6,7.42,175,175,0.66,185.1,33,111,52,110,0.08,6.4,15,10,15,180
9/15/2019,Buriganga,Aminbazar Bridge,L-11,30.1,7.49,161,84.9,5.03,41.1,36.1,28,52,65,0.24,0.78,8.7,4,1,210
9/15/2019,Buriganga,d/s of Hazaribagh,L-12,30.3,7.45,168,98.1,3.56,33.1,24.4,29,32,75,0.24,1.15,3.8,2,16,200
9/15/2019,Buriganga,d/s Kamrangirchar Launch Ghat,L-13,30.3,7.44,169,97.2,3.26,20.5,24.6,28,34,75,0.05,1.34,2,9,15,270
9/15/2019,Buriganga,Chandni Ghat,L-14,30.4,7.38,165.1,98.5,3.42,9,20.6,30,34,70,0.05,1.13,4.3,4,16,190
9/15/2019,Buriganga,Sadar Ghat,L-15,30.5,7.56,181.3,101.1,2.63,160.9,24.9,24,27,70,0.1,1.35,4.8,5,16,200
9/15/2019,Buriganga,Dholaikhal,L-16,30.6,7.55,178.8,99.3,2.45,163.6,21.8,18,30,80,0.05,1.39,4,6,16,220
9/15/2019,Buriganga,BCF Bridge,L-17,30.4,7.55,173.3,100.2,1.94,165.2,25.2,14,29,55,0.07,1.39,4.9,4,15,180
9/15/2019,Buriganga,d/s Pagla STP,L-18,30.4,7.54,185.9,102.1,1.26,164,37.4,8,26,45,0.06,1.35,4.3,3,15,170
9/15/2019,Buriganga,Jazira ,L-19,30.1,7.54,186.8,104.1,0.87,154,42.5,6,22,65,0.05,1.47,4.5,4,15,180
9/15/2019,Bangshi-Savar,d/s of Turag branch outfall,L-31,30.5,7.62,233,126.6,1.84,74.5,17.7,9,17,55,0.08,2.63,3,2,17,160
9/15/2019,Bangshi-Savar,Amin Bazar Landfill,L-32,30,7.5,161,88,5.71,44.9,38.1,8,58,55,0.4,0.9,8.9,1,14,220
9/15/2019,Dhaleshwari,Nayarhat Bridge,L-33,29.7,7.5,162.9,85.5,5.97,96,87.2,8,134,55,0.1,0.72,5.3,3,14,190
9/15/2019,Dhaleshwari,Singair Bridge (Bhangalpur),L-34,30.2,7.66,177.6,93.7,5.41,107.4,61.4,6,81,35,0.01,0.7,3.5,2,14,180
9/15/2019,Dhaleshwari,Kadamtoli Bridge,L-35,30.9,7.61,177.5,97.1,4.83,119.8,27.4,4,38,40,0.3,1.02,4.2,1,17,190
9/15/2019,Dhaleshwari ,Rohitpur Bridge  ,L-36,30,7.71,155.2,80.2,6.67,137.4,142,3,229,50,0.01,0.72,3.2,1,13,220
9/15/2019,Dhaleshwari ,d/s of BSCIC  ,L-37,30,7.72,156.6,80.8,6.69,137.8,152,2,232,30,0.05,0.52,5.4,2,12,200
9/15/2019,Dhaleshwari ,d/s of Dhaleswari Bridge  ,L-38,30.2,7.73,160.3,82,6.54,139.7,137,2,189,45,0.08,0.52,3,2,14,180
9/15/2019,Dhaleshwari ,Baluchar Bridge  ,L-39,30.2,7.66,157.9,81.8,6.44,148.2,138,5,170,60,0.01,0.83,6.5,2,12,190
9/16/2019,Balu ,Demra (u/s of confluence),L-30,31.5,7.53,243,123.2,1.56,191.8,10.17,11,12,90,0.07,0.84,3.6,2,14,190
9/16/2019,Dhaleshwari ,Muktapur Ghat  ,L-40,30.3,6.97,220,101.3,3.66,182.8,35.8,10,47,75,0.1,0.69,3.2,3,13,220
9/16/2019,Shitalakhya ,d/s Kanchan Bridge,L-41,31.4,7.66,227,114.8,4.43,180.1,10.09,4,10,85,0.25,0.15,6.8,4,10,120
9/16/2019,Shitalakhya ,ACI Salt (Rupganj Ferry Ghat),L-42,31.5,7.57,230,118.2,3.73,181.1,8.8,4,10,90,0.44,0.1,7.7,1,11,210
9/16/2019,Shitalakhya ,Demra Ghat,L-43,31.3,7.48,241,121.7,1.64,180.5,11.44,15,12,100,0.1,0.79,4.8,3,14,200
9/16/2019,Shitalakhya ,d/s of Adamjee EPZ,L-44,31.5,7.4,267,133.7,0.78,178.4,11.46,19,12,90,0.34,1.11,4.6,4,16,160
9/16/2019,Shitalakhya ,d/s of Tanbazar Ghat,L-45,31.4,7.38,258,133.1,0.44,176.2,9.01,20,10,85,0.06,1.18,3,3,15,250
9/16/2019,Shitalakhya ,u/s of Kalagachia Point,L-46,31.2,7.32,273,137.6,0.29,174.5,11.04,19,12,95,0.09,1.22,2.9,3,17,230
9/16/2019,Begunbari Canal,d/s of Dasherkandi WWTP,L-57,31.2,7.43,286,143.5,0.23,194.2,13.29,58,19,95,0.15,3.27,3.2,10,19,160
10/13/2019,Turag,u/s of Konabari,L-1,29,7.63,120.8,69.7,6.99,108.9,79,23,149,25,0.06,0.09,3.7,3,11,220
10/13/2019,Turag,Konabari Powerplant,L-2,29,7.63,120.5,71.3,6.83,100.2,72,47,130,30,0.12,0.13,4.5,1,12,250
10/13/2019,Turag,d/s of Konabari,L-3,29,7.59,126.4,76.8,6.73,98.5,66,21,116,35,0.12,0.16,5.1,1,12,140
10/13/2019,Turag,d/s of Kashimpur,L-4,29,7.57,129.3,78.3,6.5,94,70.2,26,121,120,0.15,0.15,3.3,3,12,170
10/13/2019,Turag,Yearpur (u/s of Ashulia Lake),L-5,29.1,7.54,131.3,76.7,6.37,82,54.2,34,100,45,0.13,0.17,2.5,4,13,140
10/13/2019,Turag,Ashulia Bridge (d/s of Ashulia Lake),L-6,29.1,7.48,134.4,78.8,6.18,70,44.2,25,81,70,0.14,0.18,4.7,1,13,170
10/13/2019,Turag,Rustampur (u/s of confluence),L-7,29.2,7.54,136.7,77.6,5.94,57,40.6,27,77,65,0.22,0.17,4.7,3,12,180
10/13/2019,Turag,Birulia Bridge,L-8,29.2,7.46,132.6,75.6,5.74,50,41.5,26,71,55,0.12,0.18,5.3,3,11,110
10/13/2019,Turag,Botanical Garden,L-9,29.3,7.41,134.2,81.3,5.14,23,36.4,27,69,45,0.13,0.4,2.2,1,5,130
10/13/2019,Turag,u/s of Aminbazar Bridge,L-10,29.2,7.46,192.6,84.2,5.3,12.1,33.2,25,63,50,0.13,0.34,2.8,3,14,150
10/13/2019,Turag,Rail Bridge at Kayaltia,RH-T1,29.1,7.69,124.8,71.3,7.06,105.6,75.8,32,141,95,0.13,0.09,2.3,1,13,100
10/13/2019,Turag,d/s of Bhawal-Mirzapur Road Bridge at Madhyapara,RH-T2,29.2,7.67,123.9,70.3,7.19,112.2,86,61,164,75,0.08,0.12,6,2,11,130
10/13/2019,Turag,d/s of Bridge at Mouchak-Fulbaria Road,RH-T3,29.3,7.66,128.6,71.3,7.21,118.5,98.9,26,161,45,0.15,0.18,6.1,8,22,120
10/13/2019,Turag,d/s of Dubail Beel (Goalia),RH-T4,29.3,7.69,131.3,71.2,7.15,136,104,16,134,65,0.13,0.13,5.3,2,9,90
10/13/2019,Turag,d/s of Madankhali Jame Mosque,RH-T5,29.3,7.68,131.6,71.5,7.11,136.5,98,17,126,60,0.13,0.12,6,3,9,110
10/13/2019,Turag,Boroibari Bridge,L-48,29.3,7.61,114.2,65.3,7.16,137.2,109,19,166,50,0.19,0.07,4.9,1,8,120
10/13/2019,Turag,Kaliakoir Bridge,L-47,29.2,7.67,117.2,66,7.12,142.2,88.1,30,179,45,0.12,0.11,5.5,2,9,120
